Month,GasUse,ElectricUse
Jan,244,967
Feb,228,795
Mar,153,820
Apr,140,672
May,55,722
Jun,34,820
Jul,30,1326
Aug,28,1262
Sep,29,1126
Oct,41,814
Nov,88,821
Dec,199,918
Jan,230,950
Feb,245,878
Mar,247,785
Apr,135,690
May,34,794
Jun,33,802
Jul,27,1445
Aug,26,1357
Sep,28,1268
Oct,39,889
Nov,86,830
Dec,188,935
